term,description,category,subcategory,lang
"Қарымта","Қарсы жақтың құнды қайтару үшін жасаған әрекеттерінің жалпы атауы.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Бәтуа","Пәтуа. Ортақ мәміле, байлам.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Бедекші","Делдал.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Бекім","Кұпталған шешім, байлам.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Ділдә","Қазіргі алтын сөзінің көнерген атауы.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Манат","Ежелде қазақта мата атауы, Түркімендер мен әзірбайжандардың ақшасы.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Майқарағай","Бойында майы көп, жанғанда маздап жанатын қарағай тұқымдасына жататын көпжылдық мәңгі жасыл ағаш.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Делдал","Тауарды сатушы мен сатып алушы арасында мәміле жасасушы.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Күсет болсын","Сауда жасап тұрған адамға қарата айтылатын сауда сәтті, базар пұлды болсын деген мағынадағы тілек.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Мәміле","Тауарлардың, көрсетілетін қызметтердің нәтижелерімен немесе оларды пайдалану құқығымен байланысты сатып алу-сату.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Айналым","Саудаайналымында тауарлардың әкетілімі мен әкелімі, тауар келісімі (келісімшарты).","Айырбастау пункттері","Айырбастау пункттері","kk"
"Пайда","Өндіріс, ауыл- шаруашылық өнімдерінен, саудадан түсетін мол табыс, таза кіріс; түсім.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Пайда көр","Олжа тапты, табысқа қарық болды, нәтижесін көр.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Пайда тап","Олжа тапты, табысқа қарық болды, нәтижесін көрді","Айырбастау пункттері","Айырбастау пункттері","kk"
"Пайда қыл","Олжа ету, тиімді болуын көздеу, үнем ету.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Пайда ойла","Белгілі бір әрекеттен жеке басына қажетті пайда әкелетін жағын іздеу.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Пайдалы","Пайдасы мол.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Олжа","Ойламаған, күтпеген жерде пайда болған кіріс.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Олжа қыл","Пайдалан, қажетке жарат.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Олжала","Күтпеген жерде түсімге кезігу, табысты болу.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Олжалы","Түскен кірісі бар, табысты.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Олжалат","Олжаға кенелту.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Омпа","Асықтың аша жағы, төмен қарап тік тұру қалпы.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Ақша пұл","Жалпыға бірдей балама ретінде барлық басқа тауарлардың құнын көрсететін ерекше тауар.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Айырбас","Белгілі бір зат, мүлікті екінші затқа, мүлікке ауыстыру, айырбастау.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Алыс-беріс","Ауыс-түйіс, айырбастау, алмастыру.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Әмиян","Ақша салатын қалталық қажет бұйым, қаржы бар ұғымын береді.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Атой","Көне сөз, хабар беру мағынасында қолданылады.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Байғазы","Үлкендердің балалардың жаңа бұйымына киіміне берілетін ақшалай, заттай сыйы.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Байлық","Бір нәрсенің мол қоры, көзі, молшылық, дәулет.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Баспа-бас","Бір затты екінші затқа тікелей айырбастау ісі.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Безбен","Мөлшер, өлшем, таразы.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Дәнекер","Жалғастырушы, біріктіруші, себепші.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Дәлме-дәл","Тура, сайма-сай.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Қалта","Бизнес пен іскери сала сөзі – ауыспалы мағынасында ақша, қаржы, байлық.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Мәулет","Пайдалануға болатын мұрсат, мүмкіндік, сәт.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Медеткер","Демеуші, жәрдемші, сүйеніш болу, медет ету.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Теңге","Құн өлшемі ретінде пайдаланылатын ақша, Қазақстанның ресми қаржы валютасы атауы.","Айырбастау пункттері","Айырбастау пункттері","kk"
"Алтай облысы","Қазіргі Шығыс Қазақстан, Моңғолия, Қытай және Ресей мемлекеттерінің шекаралары түйіскен өңіріндегі үлкен тау жүйесі және таулы аймақ атауы.","Облыс, қала, аудан, көшелер","Облыс","kk"
"Берел облысы","Алтай тауы аумағының бөлігі болып табылатын Шығыс Қазақстан облысы жалпыадамзаттық өркениетті бейнелейтін түрлі тарихи оқиғаларға, ескерткіштерге өте бай.","Облыс, қала, аудан, көшелер","Облыс","kk"
"Ботай облысы","Ғасырларға созылған көне тарихты қойнына алып жатқан Айыртауда бүкіл әлемнің назары ауған «Ботай мәдениеті» деген атпен жер шарына танымал жер бар.","Облыс, қала, аудан, көшелер","Облыс","kk"
"Айыртау облысы","Солтүстік Қазақстан облысында орналасқан, әйгілі Ботай мәдениетінің ескерткіштері табылған жердің аты.","Облыс, қала, аудан, көшелер","Облыс","kk"
"Сарыарқа облысы","Ата-бабаларымыздан аманат болып жеткен қасиетті Ұлы дала!","Облыс, қала, аудан, көшелер","Облыс","kk"
"Кенді Алтай","Алтайдың батыс бөлігінің тарихи-географиялық атауы.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Ақбауыр","Ертістің жоғарғы бөлігіндегі бірегей табиғи-тарихи ескерткіш.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Алаш","Қазақ халқының байырғы сөзі. Мағынасы – елдік, тұтастық, бірлік, айбарлық деген бірнеше ұғымдарды жинақтайды.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Қоржынтүбек","Қоржынтүбек қаласы 1956 жылы құрылды.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Жайық","Ортағасырлық Жайық қалашығы Орал қаласынан оңтүстікте 12 км жерде, Шаған өзенінің арнасы құраған жағалаудың үстінде орналасқан.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Шерғала","VIII-IХ ғасырда араб шапқыншылығы кезінде шыңда жасалған бекініс-қала ретінде белгілі болған.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Арыстан баб","Исламның таралуында маңызды рөл атқарған әулие.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Бөкей ордасы","XIX ғасырдың басында Жайықтың батысында құрылған хандық, Ішкі Орда деп те аталады.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Бұқтырма","Шығыс Қазақстандағы өзен және су қоймасы.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Ерейментау","Қазақстанның таулы аймағы, табиғатының сұлулығымен және байлығымен танымал.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Ертіс","Қазақстан мен Ресей аумағынан өтетін ірі өзен.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Қойлық","Қазіргі Алматы облысының аумағында орналасқан көне қала.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Қорғалжын","Қазақстандағы қорық, табиғи байлықтар мен экологияны қорғауға арналған аймақ.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Қордай","Қазақстанның оңтүстік өңіріндегі аудан.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Қоянды","Қазақтың тарихи әрі мәдени маңызы бар мекені.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Құсмұрын","Қазақстандағы географиялық атаулардың бірі және тарихи-мәдени маңызы бар мекен.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Марқакөл","Шығыс Қазақстан облысындағы табиғи су айдыны.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Мойынты","Жамбыл облысындағы өзен мен таулы аймақ.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Нарын","Қазақстанның орталық аймағында орналасқан өзен мен табиғи аймақ.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Нұра","Қазақстанның табиғи және тарихи-мәдени маңызы бар атауы.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Отырар","Ортағасырлық көне қала, Ұлы Жібек жолының маңызды сауда және мәдениет орталығы болған.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Сайрам","Түркістан облысындағы көне қала.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Сарайшық","Қазақ тарихындағы маңызды сауда қаласы.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Сауран","Орта ғасырларда Түркістан облысында орналасқан қала.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Талас","Қазақстан мен Қырғызстан арасындағы өзен.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Талғар","Қазақстанның оңтүстігінде орналасқан тарихи және географиялық атау.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Ұлытау","Қазақстанның тарихи, мәдени және табиғи маңызы зор аймағы.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Шардара","Оңтүстік Қазақстан облысындағы қала.","Облыс, қала, аудан, көшелер","Қала атауы","kk"
"Алмалы","Алматы қаласындағы әкімшілік-аумақтық бөлініс атауы.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Алтынемел","Қазақстанның ұлттық табиғи паркі.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Жәңгір хан","Бөкей Ордасының ханы.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Жерұйық","Асан Қайғы іздеген, қазақ аңыздарындағы жайлы өмір мекені.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Қозыбасы","Қазақтың ұлттық тарихындағы маңызды жер атауы.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Құсни-Қорлан","Қазақтың халық әні.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Құтлық қаған","Түркі қағандығының ұлы билеушісі.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Құтты білік","Ортағасырлық түркі философиялық шығармасы.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Майқы би","Қазақтың тарихи-мәдени мұрасында ерекше орын алатын ұлы тұлға.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Мақпал-Сегіз","Қазақ фольклорында махаббат пен батырлықтың символы болып табылатын кейіпкер.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Мөде хан","Ғұн мемлекетінің ұлы көсемі әрі негізін қалаушылардың бірі.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Нұралы хан","Қазақ хандығының билеушісі.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Ойсылқара","Қазақ және түркі халықтарының мәдениетінде маңызды орын алатын атау.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Оспан батыр","ХХ ғасырдың басында қазақтың тәуелсіздік үшін күрескен батырларының бірі.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Рәбия бегім","Әмір Темірдің немересі, Ұлықбектің қызы.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Беркі сарайы","Қазақ тарихындағы ортағасырлық қала.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Саурық батыр","Қазақтың белгілі батырларының бірі.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Сүйінші","Қазақ тілінде жақсы хабар жеткізу немесе қуанышқа байланысты айтылатын сөз.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Сыпатай батыр","Қазақ батыры.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Тайкелтір би","Қазақтың атақты биі, шешен, ақын.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Таймас батыр","Қазақ батыры.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Телқоңыр","Сүгірдің күйі.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Теріскей","Солтүстік беткей немесе көлеңкелі жақ деген мағынаны білдіреді.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Түргеш","Түркі мемлекетінің белгілі билеуші руы.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Үшқоңыр","Алматы облысында орналасқан табиғи аймақ.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Хан Кене","ХІХ ғасырдағы ел билеушісі, батыр, қолбасшы.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Шарын","Қазақстанның шығысында орналасқан шатқал.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Шідерті","Қазақстанның солтүстігінде орналасқан елдімекен.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Шымбұлақ","Алматы облысындағы тау курорты.","Облыс, қала, аудан, көшелер","Шағын қала","kk"
"Ақан сері","ХІХ ғасырда өмір сүрген қазақтың белгілі ақын композиторы, сал-серілерінің бірі.","Облыс, қала, аудан, көшелер","Аудан","kk"
"Ақсуат","Абай облысында орналасқан аудан атауы.","Облыс, қала, аудан, көшелер","Аудан","kk"
"Бекет ата","XVIII ғасырдағы қазақтың діни қайраткері, ұстаз және әулие.","Облыс, қала, аудан, көшелер","Аудан","kk"
"Білге қаған","Көне Түрік қағанатының билеушісі.","Облыс, қала, аудан, көшелер","Аудан","kk"
"Еділ","«Еділ» есімі түркі-ғұн тарихындағы әйгілі тұлға Аттиламен байланыстырылады.","Облыс, қала, аудан, көшелер","Аудан","kk"
"Жиделібайсын","Қазақ эпостарында кездесетін, жайлы өмір мекені ретінде сипатталған жер.","Облыс, қала, аудан, көшелер","Аудан","kk"
"Исатай батыр","XIX ғасырдағы ұлт-азаттық қозғалысының жетекшісі.","Облыс, қала, аудан, көшелер","Аудан","kk"
"Көк түрік","Түркі халықтарының атауы.","Облыс, қала, аудан, көшелер","Аудан","kk"
"Меркі","Қазақстанның оңтүстік аймағында орналасқан аудан.","Облыс, қала, аудан, көшелер","Аудан","kk"
"Мойынқұм","Жамбыл облысындағы шөлді аймақ.","Облыс, қала, аудан, көшелер","Аудан","kk"
"Ордабасы","Қазақстанның Оңтүстік аймағында орналасқан тарихи орын.","Облыс, қала, аудан, көшелер","Аудан","kk"
"Сұлтан Бейбарыс","Түркі даласынан шыққан Мысырдағы Ұлы Мәмлүк империясының басшысы.","Облыс, қала, аудан, көшелер","Аудан","kk"
"Тәуке хан","Қазақ хандығының ұлы билеушісі.","Облыс, қала, аудан, көшелер","Аудан","kk"
"Шірік-Рабат","Қазақстанның оңтүстік-батысындағы тарихи орын.","Облыс, қала, аудан, көшелер","Аудан","kk"
"Аққайың","Аққайың – көгілдір аспанмен астасып, аққайың ағаштарымен көмкерілген тыныш ауыл.","Облыс, қала, аудан, көшелер","Ауыл","kk"
"Бұлақбай","Бұлақбай – таза, мөлдір бұлақтарымен танымал ауыл.","Облыс, қала, аудан, көшелер","Ауыл","kk"
"Жайлыөзек","Жайлыөзек – жасыл жазықтар мен өзен аңғарлары арқылы жайылған ауыл.","Облыс, қала, аудан, көшелер","Ауыл","kk"
"Күмісқұдық","Күмісқұдық – шұрайлы жері мен күміс сияқты жарқыраған құдықтарымен танымал мекен.","Облыс, қала, аудан, көшелер","Ауыл","kk"
"Көктүрік","Көктүрік – көне түркі дәуірінің рухын сезінуге болатын ерекше ауыл атауы.","Облыс, қала, аудан, көшелер","Ауыл","kk"
"Ай мен Айша","Шерхан Мұртазаның көрнекті романы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Ақсу Жабағылы","Қазақстанның ең көне және табиғаты ерекше қорықтарының бірі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Ақсүйек","Бұл сөз қазақ мәдениетінде бірнеше мағынада қолданылады.","Облыс, қала, аудан, көшелер","Көше","kk"
"Алтын сақа","Қазақ халық ертегісінің атауы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Аңқаты","Қазақстанның Батыс өңіріндегі өзен және жер атауы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Асан қайғы","XV ғасырдағы жырау және ойшыл.","Облыс, қала, аудан, көшелер","Көше","kk"
"Байшұбар","Алпамыс батырдың тұлпары.","Облыс, қала, аудан, көшелер","Көше","kk"
"Біржан-Сара","Қазақтың әйгілі айтыс үлгісі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Бозінген","Қазақ аңыздарындағы киелі түйе.","Облыс, қала, аудан, көшелер","Көше","kk"
"Бопай ханым","Кенесары ханның қарындасы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Ботай","Бұл энеолит дәуіріндегі ежелгі мәдениет.","Облыс, қала, аудан, көшелер","Көше","kk"
"Бұланты","1728 жылы жоңғарларға қарсы шайқас өткен жер.","Облыс, қала, аудан, көшелер","Көше","kk"
"Дегелең","Қазақстанның тау жүйесінің бірі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Дешті Қыпшақ","Ортағасырлық түркі-қыпшақ даласының атауы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Еңлік-Кебек","Махаббат пен трагедияны бейнелейтін қазақтың халық аңызы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Жезкиік","Қазақ әндерінде және аңыздарында кездесетін киік.","Облыс, қала, аудан, көшелер","Көше","kk"
"Желаяқ","Ертегілер мен аңыздардағы өте жылдам жүгіретін кейіпкер.","Облыс, қала, аудан, көшелер","Көше","kk"
"Желмая","Асан Қайғының киелі түйесі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Жеті ата","Қазақтың шежірелік дәстүрі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Жеті жарғы","XVII ғасырда Тәуке хан тұсында жасалған заңдар жинағы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Жетіқарақшы","Аспандағы жұлдыз шоғыры.","Облыс, қала, аудан, көшелер","Көше","kk"
"Жидебай","Абай Құнанбайұлының туған және жерленген жері.","Облыс, қала, аудан, көшелер","Көше","kk"
"Жиренше шешен","Қазақ аңыздарындағы тапқырлығымен және даналығымен танылған шешен.","Облыс, қала, аудан, көшелер","Көше","kk"
"Жүсіп-Зылиха","Ислам әдебиетінде танымал діни-романтикалық шығарма.","Облыс, қала, аудан, көшелер","Көше","kk"
"Жұмыр қылыш","Махамбеттің күйі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Зеңгі баба","Төрт түлік малдың пірі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Зере ана","Абай Құнанбайұлының әжесі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Көкжал","Еркіндікті, батырлық пен табандылықты бейнелейтін қазақтың символикалық образы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Көшпенділер","Қазақ халқының өмір салты, тарихы мен мәдениетін сипаттайтын ұғым.","Облыс, қала, аудан, көшелер","Көше","kk"
"Күнікей қыз","Қазақ фольклорындағы Күн астындағы Күнікей қыз ертегісінің бас кейіпкері.","Облыс, қала, аудан, көшелер","Көше","kk"
"Қазанат","Қазақ жылқысының ерекше түрі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Қамажай","Қазақтың дәстүрлі әні мен биі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Қапаған қаған","Түрік қағанатының билеушісі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Еске қаған","Түрік қағанатының билеушісі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Қара жорға","Қазақтың ұлттық биі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Қарашаш ана","Қожа Ахмет Ясауидің анасы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Қарлығаш би","Қазақтың әділ биі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Қобыз сарыны","Қазақтың көне музыкалық аспабы қобызбен орындалатын әуендер мен сарыны.","Облыс, қала, аудан, көшелер","Көше","kk"
"Құнанбай қажы","Қазақтың ұлы тұлғасы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Қыз Құртқа","Қобыланды батырдың жұбайы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Қыз Жібек","Қазақтың атақты ғашықтық жыры.","Облыс, қала, аудан, көшелер","Көше","kk"
"Қызыл жебе","Қазақтың әдебиетінде әлеуметтік және саяси мәселелерді көтеретін роман атауы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Ләйлі-Мәжнүн","Шығыс халықтарының танымал аңызы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Малайсары","Қазақ тарихындағы аты аңызға айналған батыр.","Облыс, қала, аудан, көшелер","Көше","kk"
"Мұңлық-Зарлық","Қазақтың классикалық эпосы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Мұсабай жырау","Қазақтың атақты жырауы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Назым сұлу","Қамбар батырдың сүйіктісі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Нартайлақ пен Айсұлу","Махаббат тақырыбына арналған Шәкәрімнің дастанының атауы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Оғызнама","Ортағасырлық түркі халықтарының мифтік шығармасы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Оқжетпес","Қазақтың танымал тарихи жері.","Облыс, қала, аудан, көшелер","Көше","kk"
"Орақ-Мамай","Қазақтың ертегілеріндегі, эпостық жырларындағы батыр есімдері.","Облыс, қала, аудан, көшелер","Көше","kk"
"Орбұлақ","Қазақ тарихында маңызды шайқас болған орын.","Облыс, қала, аудан, көшелер","Көше","kk"
"Орда базар","Ортағасырлық қала мен сауда орталығы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Салсал","Діни дастан.","Облыс, қала, аудан, көшелер","Көше","kk"
"Сандықтас","Сандықтас Қазақстанның әртүрлі өңірлерінде кездесетін ерекше табиғи тас түзілістердің атауы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Сарай Бату","XIII ғасырдағы монғол империясының тарихи ордасы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Сармат","Көшпелі ерте түркі тілдес халық.","Облыс, қала, аудан, көшелер","Көше","kk"
"Сартай батыр","Қазақ батырларының бірі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Сегіз сері","Қазақтың ұлы ақыны, композиторы әрі әнші.","Облыс, қала, аудан, көшелер","Көше","kk"
"Сусамыр","Жамбыл облысында орналасқан жайлау атауы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Сүмбіле","Қазақтың дәстүрлі астрономиясындағы шоқжұлдыз атауы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Тайбурыл","Қобыланды батырдың тұлпары.","Облыс, қала, аудан, көшелер","Көше","kk"
"Тарбағатай","Шығыс Қазақстанда орналасқан тау жүйесі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Таусоғар","Ертөстік ертегісінің кейіпкері.","Облыс, қала, аудан, көшелер","Көше","kk"
"Тәтіқара жырау","Қазақтың әйгілі жырауы, ақыны.","Облыс, қала, аудан, көшелер","Көше","kk"
"Тепеңкөк","Халық күйі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Терісқақпай","Тәттімбет Қазанғапұлының күйі.","Облыс, қала, аудан, көшелер","Көше","kk"
"Тоныкөк","Түркі қағандығының атақты әскери жетекшісі әрі ақылшысы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Тұмар ханым","Түрік қағандығының әйгілі ханшайымы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Үркер","Аспан денесі, бірқатар халықтардың мифологиясында маңызды орын алады.","Облыс, қала, аудан, көшелер","Көше","kk"
"Ұлықбек","Әмір Темірдің ұрпағы, астроном, математик.","Облыс, қала, аудан, көшелер","Көше","kk"
"Хақназар","Қазақ хандығының ханы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Шалқұйрық","Ертөстік ертегісіндегі алдағыны болжай алатын қабілеті бар, неше түрлі сиқырды білетін, адамша сөйлеп, адамша іс-әрекет қылатын қасиетті жануар.","Облыс, қала, аудан, көшелер","Көше","kk"
"Шортанбай","19 ғасырда өмір сүрген қазақ ақыны және жырауы.","Облыс, қала, аудан, көшелер","Көше","kk"
"Шөже ақын","Қазақтың белгілі халық ақыны.","Облыс, қала, аудан, көшелер","Көше","kk"
"Балмұздақ","Тоңазытылып жасалған тағам. Балмұздақты сүт, қаймақ, қант, сары май, жеміс-жидек, сондай-ақ, дәмді, хош иісті тамақтардың қоспаларынан жасайды.","Тағам атаулары","Тағам атаулары","kk"
"Құймақша","Қышқыл жұмсақ қамырдан әзірленетін шағын, қалың, майға қуырылатын тағам; жайма құймақтың шағын күлше бітімдес түрі.","Тағам атаулары","Тағам атаулары","kk"
"Құрт қосылған сорпа","Шөлді қандырып қана қоймай, денсаулыққа пайдасын тигізетін құрт көже.","Тағам атаулары","Тағам атаулары","kk"
"Жемісқақ","Кептірілген жемістер немесе жидектер","Тағам атаулары","Тағам атаулары","kk"
"«Қызыл барқыт» торты","Қою қызыл, ашық қызыл немесе қызыл-қоңыр түсті шоколадты торт.","Тағам атаулары","Тағам атаулары","kk"
"«Аппақ қыз» торты","Наполеон, балды немесе эстерхази сияқты көпқабатты торттарға жатады.","Тағам атаулары","Тағам атаулары","kk"
"Тұздық","Астың дәмін келтіру үшін пайдаланылатын қоспа.","Тағам атаулары","Тағам атаулары","kk"
"Әрленген күріш","Дайын, қайнатылған күріш.","Тағам атаулары","Тағам атаулары","kk"
"Бауырсақ","Қазақтың ұлттық тағамы.","Тағам атаулары","Тағам атаулары","kk"
"Ақбалық","Албырттәрізділер тұқымдасына жататын бағалы балық.","Тағам атаулары","Тағам атаулары","kk"
"Ақжелкен","Шатыршагүлділер тұқымдасына жататын бір немесе екі жылдық өсімдік.","Тағам атаулары","Тағам атаулары","kk"
"Ақжелкен сабақтары","Ақжелкеннің шығу тегі Жерорта теңізі аймағымен байланысты.","Тағам атаулары","Тағам атаулары","kk"
"Итжидек","Алқалар тұқымдасына жататын көп жылдық жарық сүйгіш, шөптесін өсімдік.","Тағам атаулары","Тағам атаулары","kk"
"Ақжұпар шайы","Хош иісті, жұмсақ дәмі бар, жасыл шай мен түрлі шөптер немесе гүлдер қосылып дайындалатын шай түрі.","Тағам атаулары","Тағам атаулары","kk"
"Ақсерке","Ақсерке немесе атлантикалық ақсерке немесе көл ақсеркесі сәулежүзбеқанатты балықтар класына, ақсерке тәрізділер тобына, ақсерке тұқымдасына жатады.","Тағам атаулары","Тағам атаулары","kk"
"Ақшабақ","Тұщы суда тіршілік ететін, денесі ақшыл-сұр түсті, көбіне балық аулауда пайдаланылатын балық түрі.","Тағам атаулары","Тағам атаулары","kk"
"Кептірілген нан","Кесілген және кептірілген нан өнімдері.","Тағам атаулары","Тағам атаулары","kk"
"Сүр ет","Әртүрлі жануарлардың, көбіне сиыр, қой, тауық еттерінің алдымен тұздалған, содан кейін термиялық өңдеуден өткен ет.","Тағам атаулары","Тағам атаулары","kk"
"Қаракесек ет","Кептірілген ет.","Тағам атаулары","Тағам атаулары","kk"
"Піспенан","Әртүрлі пішіндегі және ылғалдылығы төмен ұсақ ұннан жасалған кондитерлік өнімдер.","Тағам атаулары","Тағам атаулары","kk"
"Сөк","Біржылдық дақыл, бидайық тұқымдасына жататын, дәні мен сабанынан азық және малға жем ретінде пайдаланылатын өсімдік.","Тағам атаулары","Тағам атаулары","kk"
